Instance,API_Endpoint,Error_Reason
gorone.xyz,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://gorone.xyz/api/v1/instance/domain_blocks
gorone.xyz,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://gorone.xyz/api/v1/instance/terms_of_service
gulp.cafe,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://gulp.cafe/api/v1/instance/domain_blocks
h.kokuda.org,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://h.kokuda.org/api/v1/instance/domain_blocks
h.kokuda.org,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://h.kokuda.org/api/v1/instance/terms_of_service
handon.club,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://handon.club/api/v1/instance/domain_blocks
handon.club,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://handon.club/api/v1/instance/terms_of_service
heislandmine.work,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://heislandmine.work/api/v1/instance/domain_blocks
heislandmine.work,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://heislandmine.work/api/v1/instance/terms_of_service
heislandmine.work,/api/v1/instance/translation_languages,404 Client Error: Not Found for url: https://heislandmine.work/api/v1/instance/translation_languages
hexadon.net,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://hexadon.net/api/v1/instance/domain_blocks
hexadon.net,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://hexadon.net/api/v1/instance/terms_of_service
hexadon.net,/api/v1/instance/translation_languages,404 Client Error: Not Found for url: https://hexadon.net/api/v1/instance/translation_languages
hispagatos.space,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://hispagatos.space/api/v1/instance/domain_blocks
hispagatos.space,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://hispagatos.space/api/v1/instance/terms_of_service
hokutodon.co,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://hokutodon.co/api/v1/instance/domain_blocks
hokutodon.co,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://hokutodon.co/api/v1/instance/terms_of_service
homoo.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://homoo.social/api/v1/instance/terms_of_service
homoo.social,/api/v1/instance/translation_languages,404 Client Error: Not Found for url: https://homoo.social/api/v1/instance/translation_languages
hostsharing.coop,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://hostsharing.coop/api/v1/instance/domain_blocks
hostsharing.coop,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://hostsharing.coop/api/v1/instance/terms_of_service
hostux.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://hostux.social/api/v1/instance/terms_of_service
hulvr.com,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://hulvr.com/api/v1/instance/domain_blocks
hulvr.com,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://hulvr.com/api/v1/instance/terms_of_service
ichiji.social,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://ichiji.social/api/v1/instance/domain_blocks
ichiji.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://ichiji.social/api/v1/instance/terms_of_service
ichinyo.site,/api/v1/instance/peers,404 Client Error: Not Found for url: https://ichinyo.site/api/v1/instance/peers
ichinyo.site,/api/v1/instance/rules,404 Client Error: Not Found for url: https://ichinyo.site/api/v1/instance/rules
ichinyo.site,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://ichinyo.site/api/v1/instance/domain_blocks
ichinyo.site,/api/v1/instance/extended_description,404 Client Error: Not Found for url: https://ichinyo.site/api/v1/instance/extended_description
ichinyo.site,/api/v1/instance/privacy_policy,404 Client Error: Not Found for url: https://ichinyo.site/api/v1/instance/privacy_policy
ichinyo.site,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://ichinyo.site/api/v1/instance/terms_of_service
ichinyo.site,/api/v1/instance/translation_languages,404 Client Error: Not Found for url: https://ichinyo.site/api/v1/instance/translation_languages
idlethumbs.social,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://idlethumbs.social/api/v1/instance/domain_blocks
idlethumbs.social,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://idlethumbs.social/api/v1/instance/terms_of_service
ieji.de,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://ieji.de/api/v1/instance/terms_of_service
ifrit.gaia.ff14-mstdn.xyz,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://ifrit.gaia.ff14-mstdn.xyz/api/v1/instance/domain_blocks
ifrit.gaia.ff14-mstdn.xyz,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://ifrit.gaia.ff14-mstdn.xyz/api/v1/instance/terms_of_service
ifrit.gaia.ff14-mstdn.xyz,/api/v1/instance/translation_languages,404 Client Error: Not Found for url: https://ifrit.gaia.ff14-mstdn.xyz/api/v1/instance/translation_languages
ika.queloud.net,/api/v1/instance/peers,404 Client Error: Not Found for url: https://ika.queloud.net/api/v1/instance/peers
ika.queloud.net,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://ika.queloud.net/api/v1/instance/domain_blocks
ika.queloud.net,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://ika.queloud.net/api/v1/instance/terms_of_service
